filename,algorithm,,population,stepSize,time,memory,generation
gosperglidergun.rle,hashlife,,137,2,3.23,23742728,566
gosperglidergun.rle,hashlife,,140,2,3.4,13567752,568
gosperglidergun.rle,hashlife,,131,2,2.95,8797128,570
gosperglidergun.rle,hashlife,,138,2,3.025,9473672,572
gosperglidergun.rle,hashlife,,146,2,3.055,10165000,574
gosperglidergun.rle,hashlife,,146,2,3.065,10866144,576
gosperglidergun.rle,hashlife,,156,2,3.365,11989704,578
gosperglidergun.rle,hashlife,,143,2,3.2,9541848,580
gosperglidergun.rle,hashlife,,149,2,3.415,10340208,582
gosperglidergun.rle,hashlife,,151,2,3.49,11189568,584
gosperglidergun.rle,hashlife,,139,2,3.57,12072792,586
gosperglidergun.rle,hashlife,,148,2,3.475,12924088,588
gosperglidergun.rle,hashlife,,149,2,2.715,10024640,590
gosperglidergun.rle,hashlife,,144,2,2.665,10612144,592
gosperglidergun.rle,hashlife,,138,2,2.72,11212136,594
gosperglidergun.rle,hashlife,,142,2,2.85,11832536,596
gosperglidergun.rle,hashlife,,145,2,2.87,12477488,598
gosperglidergun.rle,hashlife,,136,2,5.375,11463840,600
gosperglidergun.rle,hashlife,,143,2,3.26,12323472,602
gosperglidergun.rle,hashlife,,151,2,3.035,12997008,604
gosperglidergun.rle,hashlife,,151,2,3.12,13699040,606
gosperglidergun.rle,hashlife,,161,2,5.995,8497208,608
gosperglidergun.rle,hashlife,,148,2,3.07,9203808,610
gosperglidergun.rle,hashlife,,154,2,3.125,9924824,612
gosperglidergun.rle,hashlife,,156,2,3.265,10699240,614
gosperglidergun.rle,hashlife,,144,2,3.425,12001552,616
gosperglidergun.rle,hashlife,,153,2,3.23,12768832,618
gosperglidergun.rle,hashlife,,154,2,3.33,13577432,620
gosperglidergun.rle,hashlife,,149,2,3.545,14422656,622
gosperglidergun.rle,hashlife,,143,2,3.455,15266056,624
gosperglidergun.rle,hashlife,,147,2,3.48,16110760,626
gosperglidergun.rle,hashlife,,150,2,3.475,16940944,628
gosperglidergun.rle,hashlife,,141,2,2.645,17508000,630
gosperglidergun.rle,hashlife,,148,2,2.635,18084352,632
gosperglidergun.rle,hashlife,,156,2,2.7,18684504,634
gosperglidergun.rle,hashlife,,156,2,2.76,19305984,636
gosperglidergun.rle,hashlife,,166,2,2.82,19950496,638
gosperglidergun.rle,hashlife,,153,2,5.435,21552536,640
gosperglidergun.rle,hashlife,,159,2,3.295,10479608,642
gosperglidergun.rle,hashlife,,161,2,3.22,11227904,644
gosperglidergun.rle,hashlife,,149,2,3.215,11976520,646
gosperglidergun.rle,hashlife,,158,2,3.08,12670272,648
gosperglidergun.rle,hashlife,,159,2,3.21,13419960,650
gosperglidergun.rle,hashlife,,154,2,3.31,14203088,652
gosperglidergun.rle,hashlife,,148,2,3.265,14975192,654
gosperglidergun.rle,hashlife,,152,2,3.38,9744000,656
gosperglidergun.rle,hashlife,,155,2,3.24,10506824,658
gosperglidergun.rle,hashlife,,146,2,3.125,11230936,660
gosperglidergun.rle,hashlife,,153,2,3.195,11985064,662
gosperglidergun.rle,hashlife,,161,2,3.28,12793792,664
gosperglidergun.rle,hashlife,,161,2,3.4,13636560,666
gosperglidergun.rle,hashlife,,171,2,3.465,14489520,668
gosperglidergun.rle,hashlife,,158,2,2.675,15074824,670
gosperglidergun.rle,hashlife,,164,2,2.65,15662096,672
gosperglidergun.rle,hashlife,,166,2,2.725,16272760,674
gosperglidergun.rle,hashlife,,154,2,2.81,16902648,676
gosperglidergun.rle,hashlife,,163,2,2.865,17557088,678
gosperglidergun.rle,hashlife,,164,2,5.51,19195472,680
gosperglidergun.rle,hashlife,,159,2,3.54,20148312,682
gosperglidergun.rle,hashlife,,153,2,3.35,20935568,684
gosperglidergun.rle,hashlife,,157,2,3.285,21699256,686
gosperglidergun.rle,hashlife,,160,2,3.045,11803488,688
gosperglidergun.rle,hashlife,,151,2,2.96,12459048,690
gosperglidergun.rle,hashlife,,158,2,3.02,13140648,692
gosperglidergun.rle,hashlife,,166,2,3.08,13840936,694
gosperglidergun.rle,hashlife,,166,2,3.245,15311520,696
gosperglidergun.rle,hashlife,,176,2,3.195,16062056,698
gosperglidergun.rle,hashlife,,163,2,3.28,16845456,700
gosperglidergun.rle,hashlife,,169,2,3.31,17642664,702
gosperglidergun.rle,hashlife,,171,2,3.415,18475624,704
gosperglidergun.rle,hashlife,,159,2,3.485,19340704,706
gosperglidergun.rle,hashlife,,168,2,3.4,20174384,708
gosperglidergun.rle,hashlife,,169,2,2.63,20753464,710
gosperglidergun.rle,hashlife,,164,2,2.67,10370936,712
gosperglidergun.rle,hashlife,,158,2,2.75,10998024,714
gosperglidergun.rle,hashlife,,162,2,2.8,11638880,716
gosperglidergun.rle,hashlife,,165,2,2.85,12302200,718
gosperglidergun.rle,hashlife,,156,2,5.38,13903640,720
gosperglidergun.rle,hashlife,,163,2,4.67,8572928,722
gosperglidergun.rle,hashlife,,171,2,3.015,9268920,724
gosperglidergun.rle,hashlife,,171,2,3.105,9978616,726
gosperglidergun.rle,hashlife,,181,2,3.075,10677840,728
gosperglidergun.rle,hashlife,,168,2,3.15,11401784,730
gosperglidergun.rle,hashlife,,174,2,3.175,12142272,732
gosperglidergun.rle,hashlife,,176,2,3.31,12927800,734
gosperglidergun.rle,hashlife,,164,2,3.46,14377992,736
gosperglidergun.rle,hashlife,,173,2,3.2,15135080,738
gosperglidergun.rle,hashlife,,174,2,3.305,15933608,740
gosperglidergun.rle,hashlife,,169,2,3.425,16775880,742
gosperglidergun.rle,hashlife,,163,2,3.465,17631584,744
gosperglidergun.rle,hashlife,,167,2,3.515,18501184,746
gosperglidergun.rle,hashlife,,170,2,3.47,19357352,748
gosperglidergun.rle,hashlife,,161,2,2.685,19950000,750
gosperglidergun.rle,hashlife,,168,2,2.8,20544752,752
gosperglidergun.rle,hashlife,,176,2,2.73,21160456,754
gosperglidergun.rle,hashlife,,176,2,2.785,21798736,756
gosperglidergun.rle,hashlife,,186,2,2.88,22461176,758
gosperglidergun.rle,hashlife,,173,2,5.62,12134880,760
gosperglidergun.rle,hashlife,,179,2,3.36,13048872,762
gosperglidergun.rle,hashlife,,181,2,3.33,13851560,764
gosperglidergun.rle,hashlife,,169,2,3.265,14625648,766
gosperglidergun.rle,hashlife,,178,2,3.08,15336352,768
gosperglidergun.rle,hashlife,,179,2,3.22,16095816,770
gosperglidergun.rle,hashlife,,174,2,3.3,16889664,772
gosperglidergun.rle,hashlife,,168,2,3.3,17681520,774
gosperglidergun.rle,hashlife,,172,2,3.49,18871344,776
gosperglidergun.rle,hashlife,,175,2,3.33,19674592,778
gosperglidergun.rle,hashlife,,166,2,3.2,20442568,780
gosperglidergun.rle,hashlife,,173,2,3.31,21239512,782
